taskId,goal,demo,screen_url_0,screen_url_1,screen_url_2,screen_url_3,screen_url_4,screen_url_5,screen_url_6,screen_url_7,screen_url_8,screen_url_9,screen_url_10,screen_url_11,screen_url_12,screen_url_13,screen_url_14,screen_url_15,screen_url_16,screen_url_17,screen_url_18,screen_url_19,screen_url_20,screen_url_21,screen_url_22,screen_url_23,screen_url_24,screen_url_25,time_step_0,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25
00014-518,Add one ball to make sure the green ball is touching the purple bar.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/82.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/104.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/189.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/260.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/518/463.png,0,82,104,189,260,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463
00004-232,Add one ball to make sure the green ball is touching the blue bar.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/36.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/67.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/95.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/135.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00004/232/171.png,0,36,67,95,135,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
00007-101,Add one ball to make sure the green ball is touching the purple bar.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/3.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/81.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/82.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/115.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/132.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/133.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/151.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/153.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/160.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/262.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/263.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/345.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/402.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/404.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/412.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/412.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/412.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/412.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/412.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/412.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/412.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/412.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/412.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/412.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00007/101/412.png,0,3,81,82,115,132,133,151,153,160,262,263,345,402,404,412,412,412,412,412,412,412,412,412,412,412
00009-238,Add one ball to make sure the green bar is touching the purple bar.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/25.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00009/238/194.png,0,25,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194
00011-410,Add one ball to make sure the green ball is touching the purple bar.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/79.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/135.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/201.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/410/215.png,0,79,135,201,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
00014-123,Add one ball to make sure the green ball is touching the purple bar.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/40.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/66.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/170.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00014/123/393.png,0,40,66,170,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
00015-390,Add one ball to make sure the green ball is touching the purple bar.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/60.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/390/528.png,0,60,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528
00015-496,Add one ball to make sure the green ball is touching the purple bar.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/4.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/186.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/231.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00015/496/419.png,0,4,186,231,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419
00020-061,Add one ball to make sure the green ball is touching the purple bar.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/85.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00020/061/203.png,0,85,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
00011-391,Add one ball to make sure the green ball is touching the purple bar.,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/collisions.gif,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/0.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/84.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/111.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/153.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,https://phyre-nlp.s3.us-east-2.amazonaws.com/data/imgs/00011/391/174.png,0,84,111,153,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
